sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [0,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [7,6,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [8,6,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [9,6,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [10,6,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [11,6,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [12,6,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [13,6,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [14,6,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [15,6,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [0,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [1,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [2,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [3,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [4,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [5,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [6,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [7,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [8,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [9,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [10,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [11,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [12,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [13,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [14,7,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [10,0,0], thread: [15,7,0] Assertion `A[row * K + col] == 0` failed.
